conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,130,18,2,stayers,2019-03-01,2019-03-31,Q13c1,without_children,110
Mental Health Disorder,130,18,2,stayers,2019-03-01,2019-03-31,Q13c1,with_only_children,0
Mental Health Disorder,130,18,2,stayers,2019-03-01,2019-03-31,Q13c1,unknown_household_type,0
Alcohol Use Disorder,27,0,0,stayers,2019-03-01,2019-03-31,Q13c1,without_children,27
Alcohol Use Disorder,27,0,0,stayers,2019-03-01,2019-03-31,Q13c1,with_only_children,0
Alcohol Use Disorder,27,0,0,stayers,2019-03-01,2019-03-31,Q13c1,unknown_household_type,0
Drug Use Disorder,12,2,0,stayers,2019-03-01,2019-03-31,Q13c1,without_children,10
Drug Use Disorder,12,2,0,stayers,2019-03-01,2019-03-31,Q13c1,with_only_children,0
Drug Use Disorder,12,2,0,stayers,2019-03-01,2019-03-31,Q13c1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,20,1,0,stayers,2019-03-01,2019-03-31,Q13c1,without_children,19
Both Alcohol and Drug Use Disorders,20,1,0,stayers,2019-03-01,2019-03-31,Q13c1,with_only_children,0
Both Alcohol and Drug Use Disorders,20,1,0,stayers,2019-03-01,2019-03-31,Q13c1,unknown_household_type,0
Chronic Health Condition,68,10,2,stayers,2019-03-01,2019-03-31,Q13c1,without_children,56
Chronic Health Condition,68,10,2,stayers,2019-03-01,2019-03-31,Q13c1,with_only_children,0
Chronic Health Condition,68,10,2,stayers,2019-03-01,2019-03-31,Q13c1,unknown_household_type,0
HIV/AIDS,79,7,0,stayers,2019-03-01,2019-03-31,Q13c1,without_children,72
HIV/AIDS,79,7,0,stayers,2019-03-01,2019-03-31,Q13c1,with_only_children,0
HIV/AIDS,79,7,0,stayers,2019-03-01,2019-03-31,Q13c1,unknown_household_type,0
Development Disability,32,3,6,stayers,2019-03-01,2019-03-31,Q13c1,without_children,22
Development Disability,32,3,6,stayers,2019-03-01,2019-03-31,Q13c1,with_only_children,0
Development Disability,32,3,6,stayers,2019-03-01,2019-03-31,Q13c1,unknown_household_type,1
Physical Disability,74,9,1,stayers,2019-03-01,2019-03-31,Q13c1,without_children,64
Physical Disability,74,9,1,stayers,2019-03-01,2019-03-31,Q13c1,with_only_children,0
Physical Disability,74,9,1,stayers,2019-03-01,2019-03-31,Q13c1,unknown_household_type,0
