report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,910,all_persons,2019-03-01,2019-03-31,Q5a
Number of Adults (age 18 or over),707,all_persons,2019-03-01,2019-03-31,Q5a
Number of Children (under age 18),197,all_persons,2019-03-01,2019-03-31,Q5a
Number of Persons with Unknown Age,6,all_persons,2019-03-01,2019-03-31,Q5a
Number of Leavers,291,all_persons,2019-03-01,2019-03-31,Q5a
Number of Adult Leavers,260,all_persons,2019-03-01,2019-03-31,Q5a
Number of Adult and Head of Household Leavers,260,all_persons,2019-03-01,2019-03-31,Q5a
Number of Stayers,619,all_persons,2019-03-01,2019-03-31,Q5a
Number of Adult Stayers,447,all_persons,2019-03-01,2019-03-31,Q5a
Number of Veterans,43,all_persons,2019-03-01,2019-03-31,Q5a
Number of Chronically Homeless Persons,100,all_persons,2019-03-01,2019-03-31,Q5a
Number of Youth Under Age 25,56,all_persons,2019-03-01,2019-03-31,Q5a
Number of Parenting Youth Under Age 25 with Children,6,all_persons,2019-03-01,2019-03-31,Q5a
Number of Adult Heads of Household,604,all_persons,2019-03-01,2019-03-31,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2019-03-01,2019-03-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,121,all_persons,2019-03-01,2019-03-31,Q5a
