"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",161,9,36
"""Adults with Only Other Income""",184,35,46
"""Adults with Both Earned and Other Income""",28,0,3
"""Adults with No Income""",413,15,131
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",15,0,0
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,331,0
"""Number of Adult Stayers without Required Annual Assessment""",0,199,0
"""Total Adults""",805,589,216
"""1 or More Source of Income""",411,45,92
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,59,0
