, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",145,120,25,0,0
"""Transitional housing for homeless persons (including homeless youth)""",1,1,0,0,0
"""Place not meant for human habitation""",166,156,10,0,0
"""Safe Haven""",3,2,1,0,0
"""Host Home""",1,1,0,0,0
"""Subtotal""",316,280,36,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",5,5,0,0,0
"""Substance abuse treatment facility or detox center""",4,4,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",11,11,0,0,0
"""Jail, prison or juvenile detention facility""",15,15,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",3,3,0,0,0
"""Subtotal""",38,38,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Owned by client, no ongoing housing subsidy""",6,6,0,0,0
"""Owned by client, with ongoing housing subsidy""",1,1,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",185,136,47,0,2
"""Rental by client, with VASH housing subsidy""",1,1,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",9,7,2,0,0
"""Hotel or motel paid for without emergency shelter voucher""",88,66,21,0,1
"""Staying or living in a friend''s room, apartment or house""",68,53,15,0,0
"""Staying or living in a family member''s room, apartment or house""",80,53,27,0,0
"""Client Doesn''t Know/Client Refused""",0,0,0,0,0
"""Data not collected""",13,8,5,0,0
"""Subtotal""",451,331,117,0,3
"""Total""",805,649,153,0,3
