, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",15,12,27,0.56,1,6,7,0.14,0,0,0,0.0
"""Supplemental Security Income (SSI)""",12,2,14,0.86,2,1,3,0.67,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",18,1,19,0.95,1,0,1,1.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",1,0,1,1.0,0,1,1,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",4,0,4,1.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Other source""",1,2,3,0.33,0,2,2,0.0,0,0,0,0.0
"""No Sources""",22,19,41,0.54,1,4,5,0.2,0,0,0,0.0
"""Unduplicated Total Adults""",67,36,103,,5,13,18,,0,0,0,
