, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",54,36,18,0,0
"""8 to 14 days""",10,7,3,0,0
"""15 to 21 days""",2,2,0,0,0
"""22 to 30 days""",14,4,10,0,0
"""31 to 60 days""",23,13,10,0,0
"""61 to 180 days""",48,28,20,0,0
"""181 to 365 days""",26,16,10,0,0
"""366-730 days (1-2 years)""",22,22,0,0,0
"""731 days or more""",55,44,11,0,0
"""Total (persons moved into housing)""",254,172,82,0,0
"""Not yet moved into housing""",16,14,2,0,0
"""Data not collected""",12,11,1,0,0
"""Total persons""",282,197,85,0,0
