, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",140,2,37
"""$1 -  $150""",1,0,0
"""$151 - $250""",3,0,0
"""$251 - $500""",13,2,5
"""$501 - $1000""",73,9,19
"""$1001 - $1500""",68,5,16
"""$1501 - $2000""",24,0,9
"""$2001+""",21,2,7
"""Client Doesn't Know/Client Refused""",0,0,0
"""Data Not Collected""",36,0,4
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,183,0
"""Number of Adult Stayers without Required Annual Assessment""",0,79,0
"""Total Adults""",379,282,97
