"""Total Number of Persons Served""",547
"""Number of Adults (age 18 or over)""",379
"""Number of Children (under age 18)""",167
"""Number of Persons with Unknown Age""",1
"""Number of Leavers""",151
"""Number of Adult Leavers""",97
"""Number of Adult and Head of Household Leavers""",97
"""Number of Stayers""",396
"""Number of Adult Stayers""",282
"""Number of Veterans""",13
"""Number of Chronically Homeless Persons""",16
"""Number of Youth Under Age 25""",25
"""Number of Parenting Youth Under Age 25 with Children""",8
"""Number of Adult Heads of Household""",306
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",99
