, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",3,14,17,0.18,2,16,18,0.11,0,0,0,0.0
"""Supplemental Security Income (SSI)""",9,0,9,1.0,0,0,0,0.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",6,0,6,1.0,1,0,1,1.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0,0.0,1,1,2,0.5,0,0,0,0.0
"""Retirement Income from Social Security""",2,2,4,0.5,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",1,2,3,0.33,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,2,2,4,0.5,0,0,0,0.0
"""Other source""",0,0,0,0.0,0,1,1,0.0,0,0,0,0.0
"""No Sources""",7,17,24,0.29,1,12,13,0.08,0,0,0,0.0
"""Unduplicated Total Adults""",24,34,58,,4,30,34,,0,0,0,
