, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",115,2,35
"""Unemployment Insurance""",2,1,1
"""Supplemental Security Income (SSI)""",43,12,9
"""Social Security Disability Insurance (SSDI)""",44,7,7
"""VA Service - Connected Disability Compensation""",1,0,0
"""VA Non-Service Connected Disability Pension""",0,0,0
"""Private Disability Insurance""",1,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",5,0,2
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",8,0,4
"""Pension or retirement income from a former job""",3,0,3
"""Child Support""",13,0,4
"""Alimony and other spousal support""",0,0,0
"""Other Source""",2,0,0
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,20,0
