, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",63,44,19,0,0
"""Transitional housing for homeless persons (including homeless youth)""",0,0,0,0,0
"""Place not meant for human habitation""",41,33,8,0,0
"""Safe Haven""",0,0,0,0,0
"""Host Home""",0,0,0,0,0
"""Subtotal""",104,77,27,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",1,1,0,0,0
"""Substance abuse treatment facility or detox center""",1,1,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",6,4,2,0,0
"""Jail, prison or juvenile detention facility""",8,8,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",1,1,0,0,0
"""Subtotal""",17,15,2,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",3,2,1,0,0
"""Owned by client, no ongoing housing subsidy""",18,10,8,0,0
"""Owned by client, with ongoing housing subsidy""",0,0,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",147,102,45,0,0
"""Rental by client, with VASH housing subsidy""",1,0,1,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",5,4,1,0,0
"""Hotel or motel paid for without emergency shelter voucher""",11,5,6,0,0
"""Staying or living in a friend''s room, apartment or house""",27,19,8,0,0
"""Staying or living in a family member''s room, apartment or house""",43,32,11,0,0
"""Client Doesn''t Know/Client Refused""",0,0,0,0,0
"""Data not collected""",4,3,0,0,1
"""Subtotal""",259,177,81,0,1
"""Total""",380,269,110,0,1
