ethnicity,total,population,start_date,end_date,question,household_type,count
Non-Hispanic/Non-Latin(a)(o)(x),412,all_persons,2015-05-01,2015-05-31,Q12b,without_children,242
Non-Hispanic/Non-Latin(a)(o)(x),412,all_persons,2015-05-01,2015-05-31,Q12b,with_children_and_adults,167
Non-Hispanic/Non-Latin(a)(o)(x),412,all_persons,2015-05-01,2015-05-31,Q12b,with_only_children,2
Non-Hispanic/Non-Latin(a)(o)(x),412,all_persons,2015-05-01,2015-05-31,Q12b,unknown_household_type,1
Hispanic/Latin(a)(o)(x),43,all_persons,2015-05-01,2015-05-31,Q12b,without_children,24
Hispanic/Latin(a)(o)(x),43,all_persons,2015-05-01,2015-05-31,Q12b,with_children_and_adults,19
Hispanic/Latin(a)(o)(x),43,all_persons,2015-05-01,2015-05-31,Q12b,with_only_children,0
Hispanic/Latin(a)(o)(x),43,all_persons,2015-05-01,2015-05-31,Q12b,unknown_household_type,0
Client Doesn't Know/Client Refused,2,all_persons,2015-05-01,2015-05-31,Q12b,without_children,2
Client Doesn't Know/Client Refused,2,all_persons,2015-05-01,2015-05-31,Q12b,with_children_and_adults,0
Client Doesn't Know/Client Refused,2,all_persons,2015-05-01,2015-05-31,Q12b,with_only_children,0
Client Doesn't Know/Client Refused,2,all_persons,2015-05-01,2015-05-31,Q12b,unknown_household_type,0
Data Not Collected,2,all_persons,2015-05-01,2015-05-31,Q12b,without_children,1
Data Not Collected,2,all_persons,2015-05-01,2015-05-31,Q12b,with_children_and_adults,0
Data Not Collected,2,all_persons,2015-05-01,2015-05-31,Q12b,with_only_children,0
Data Not Collected,2,all_persons,2015-05-01,2015-05-31,Q12b,unknown_household_type,1
