number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_start,87
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_annual_assessment_stayers,2
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_exit_leavers,12
Adults with Only Other Income,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_start,93
Adults with Only Other Income,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_annual_assessment_stayers,15
Adults with Only Other Income,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_exit_leavers,16
Adults with Both Earned and Other Income,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_start,10
Adults with Both Earned and Other Income,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_annual_assessment_stayers,1
Adults with Both Earned and Other Income,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_exit_leavers,4
Adults with No Income,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_start,155
Adults with No Income,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_annual_assessment_stayers,2
Adults with No Income,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_exit_leavers,24
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_start,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_start,6
Adults with Missing Income Information,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_annual_assessment_stayers,196
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_annual_assessment_stayers,80
Number of Adult Stayers without Required Annual Assessment,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_start,352
Total Adults,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_annual_assessment_stayers,296
Total Adults,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_exit_leavers,56
1 or More Source of Income,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_start,211
1 or More Source of Income,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_annual_assessment_stayers,18
1 or More Source of Income,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_exit_leavers,35
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_annual_assessment_stayers,20
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2015-05-01,2015-05-31,Q18,number_of_adults_at_exit_leavers,0
