report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,459,all_persons,2015-05-01,2015-05-31,Q5a
Number of Adults (age 18 or over),352,all_persons,2015-05-01,2015-05-31,Q5a
Number of Children (under age 18),106,all_persons,2015-05-01,2015-05-31,Q5a
Number of Persons with Unknown Age,1,all_persons,2015-05-01,2015-05-31,Q5a
Number of Leavers,82,all_persons,2015-05-01,2015-05-31,Q5a
Number of Adult Leavers,56,all_persons,2015-05-01,2015-05-31,Q5a
Number of Adult and Head of Household Leavers,56,all_persons,2015-05-01,2015-05-31,Q5a
Number of Stayers,377,all_persons,2015-05-01,2015-05-31,Q5a
Number of Adult Stayers,296,all_persons,2015-05-01,2015-05-31,Q5a
Number of Veterans,6,all_persons,2015-05-01,2015-05-31,Q5a
Number of Chronically Homeless Persons,16,all_persons,2015-05-01,2015-05-31,Q5a
Number of Youth Under Age 25,29,all_persons,2015-05-01,2015-05-31,Q5a
Number of Parenting Youth Under Age 25 with Children,10,all_persons,2015-05-01,2015-05-31,Q5a
Number of Adult Heads of Household,287,all_persons,2015-05-01,2015-05-31,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2015-05-01,2015-05-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,100,all_persons,2015-05-01,2015-05-31,Q5a
