persons_served,total,population,start_date,end_date,question,household_type,count
Adults,425,all_persons,2017-12-01,2017-12-31,Q7a,without_children,333
Adults,425,all_persons,2017-12-01,2017-12-31,Q7a,with_children_and_adults,91
Adults,425,all_persons,2017-12-01,2017-12-31,Q7a,with_only_children,0
Adults,425,all_persons,2017-12-01,2017-12-31,Q7a,unknown_household_type,1
Children,151,all_persons,2017-12-01,2017-12-31,Q7a,without_children,0
Children,151,all_persons,2017-12-01,2017-12-31,Q7a,with_children_and_adults,139
Children,151,all_persons,2017-12-01,2017-12-31,Q7a,with_only_children,12
Children,151,all_persons,2017-12-01,2017-12-31,Q7a,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2017-12-01,2017-12-31,Q7a,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2017-12-01,2017-12-31,Q7a,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2017-12-01,2017-12-31,Q7a,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2017-12-01,2017-12-31,Q7a,unknown_household_type,0
Data Not Collected,2,all_persons,2017-12-01,2017-12-31,Q7a,without_children,0
Data Not Collected,2,all_persons,2017-12-01,2017-12-31,Q7a,with_children_and_adults,0
Data Not Collected,2,all_persons,2017-12-01,2017-12-31,Q7a,with_only_children,0
Data Not Collected,2,all_persons,2017-12-01,2017-12-31,Q7a,unknown_household_type,2
For PSH and RRH - the total persons served who moved into housing,124,all_persons,2017-12-01,2017-12-31,Q7a,without_children,67
For PSH and RRH - the total persons served who moved into housing,124,all_persons,2017-12-01,2017-12-31,Q7a,with_children_and_adults,57
For PSH and RRH - the total persons served who moved into housing,124,all_persons,2017-12-01,2017-12-31,Q7a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,124,all_persons,2017-12-01,2017-12-31,Q7a,unknown_household_type,0
