ch_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless ,68,all_persons,2017-12-01,2017-12-31,Q26b,without_children,60
Chronically Homeless ,68,all_persons,2017-12-01,2017-12-31,Q26b,with_children_and_adults,7
Chronically Homeless ,68,all_persons,2017-12-01,2017-12-31,Q26b,with_only_children,1
Chronically Homeless ,68,all_persons,2017-12-01,2017-12-31,Q26b,unknown_household_type,0
Not Chronically Homeless,487,all_persons,2017-12-01,2017-12-31,Q26b,without_children,252
Not Chronically Homeless,487,all_persons,2017-12-01,2017-12-31,Q26b,with_children_and_adults,223
Not Chronically Homeless,487,all_persons,2017-12-01,2017-12-31,Q26b,with_only_children,11
Not Chronically Homeless,487,all_persons,2017-12-01,2017-12-31,Q26b,unknown_household_type,1
Client Doesn't Know/Client Refused,6,all_persons,2017-12-01,2017-12-31,Q26b,without_children,6
Client Doesn't Know/Client Refused,6,all_persons,2017-12-01,2017-12-31,Q26b,with_children_and_adults,0
Client Doesn't Know/Client Refused,6,all_persons,2017-12-01,2017-12-31,Q26b,with_only_children,0
Client Doesn't Know/Client Refused,6,all_persons,2017-12-01,2017-12-31,Q26b,unknown_household_type,0
Data Not Collected,17,all_persons,2017-12-01,2017-12-31,Q26b,without_children,15
Data Not Collected,17,all_persons,2017-12-01,2017-12-31,Q26b,with_children_and_adults,0
Data Not Collected,17,all_persons,2017-12-01,2017-12-31,Q26b,with_only_children,0
Data Not Collected,17,all_persons,2017-12-01,2017-12-31,Q26b,unknown_household_type,2
