conditions,population,start_date,end_date,question,status,count
Mental Health Disorder,chronically_homeless,2017-12-01,2017-12-31,Q26e,conditions_at_start,39
Mental Health Disorder,chronically_homeless,2017-12-01,2017-12-31,Q26e,conditions_at_latest_assessment_for_stayers,33
Mental Health Disorder,chronically_homeless,2017-12-01,2017-12-31,Q26e,conditions_at_exit_for_leavers,6
Alcohol Use Disorder,chronically_homeless,2017-12-01,2017-12-31,Q26e,conditions_at_start,8
Alcohol Use Disorder,chronically_homeless,2017-12-01,2017-12-31,Q26e,conditions_at_latest_assessment_for_stayers,8
Alcohol Use Disorder,chronically_homeless,2017-12-01,2017-12-31,Q26e,conditions_at_exit_for_leavers,0
Drug Use Disorder,chronically_homeless,2017-12-01,2017-12-31,Q26e,conditions_at_start,5
Drug Use Disorder,chronically_homeless,2017-12-01,2017-12-31,Q26e,conditions_at_latest_assessment_for_stayers,4
Drug Use Disorder,chronically_homeless,2017-12-01,2017-12-31,Q26e,conditions_at_exit_for_leavers,1
Both Alcohol and Drug Use Disorders,chronically_homeless,2017-12-01,2017-12-31,Q26e,conditions_at_start,7
Both Alcohol and Drug Use Disorders,chronically_homeless,2017-12-01,2017-12-31,Q26e,conditions_at_latest_assessment_for_stayers,7
Both Alcohol and Drug Use Disorders,chronically_homeless,2017-12-01,2017-12-31,Q26e,conditions_at_exit_for_leavers,0
Chronic Health Condition,chronically_homeless,2017-12-01,2017-12-31,Q26e,conditions_at_start,21
Chronic Health Condition,chronically_homeless,2017-12-01,2017-12-31,Q26e,conditions_at_latest_assessment_for_stayers,20
Chronic Health Condition,chronically_homeless,2017-12-01,2017-12-31,Q26e,conditions_at_exit_for_leavers,1
HIV/AIDS,chronically_homeless,2017-12-01,2017-12-31,Q26e,conditions_at_start,1
HIV/AIDS,chronically_homeless,2017-12-01,2017-12-31,Q26e,conditions_at_latest_assessment_for_stayers,0
HIV/AIDS,chronically_homeless,2017-12-01,2017-12-31,Q26e,conditions_at_exit_for_leavers,1
Development Disability,chronically_homeless,2017-12-01,2017-12-31,Q26e,conditions_at_start,4
Development Disability,chronically_homeless,2017-12-01,2017-12-31,Q26e,conditions_at_latest_assessment_for_stayers,3
Development Disability,chronically_homeless,2017-12-01,2017-12-31,Q26e,conditions_at_exit_for_leavers,1
Physical Disability,chronically_homeless,2017-12-01,2017-12-31,Q26e,conditions_at_start,21
Physical Disability,chronically_homeless,2017-12-01,2017-12-31,Q26e,conditions_at_latest_assessment_for_stayers,19
Physical Disability,chronically_homeless,2017-12-01,2017-12-31,Q26e,conditions_at_exit_for_leavers,2
