income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,5,15,20,0.25,3,16,19,0.16,0,0,0,0.0,adults,2017-12-01,2017-12-31,Q19b
Supplemental Security Income (SSI),9,5,14,0.64,0,0,0,0.0,0,0,0,0.0,adults,2017-12-01,2017-12-31,Q19b
Social Security Disability Insurance (SSDI),6,1,7,0.86,1,0,1,1.0,0,0,0,0.0,adults,2017-12-01,2017-12-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0.0,0,1,1,0.0,0,0,0,0.0,adults,2017-12-01,2017-12-31,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2017-12-01,2017-12-31,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2017-12-01,2017-12-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2017-12-01,2017-12-31,Q19b
Retirement Income from Social Security,1,2,3,0.33,0,0,0,0.0,0,0,0,0.0,adults,2017-12-01,2017-12-31,Q19b
Pension or retirement income from a former job,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2017-12-01,2017-12-31,Q19b
Child Support,0,0,0,0.0,2,5,7,0.29,0,0,0,0.0,adults,2017-12-01,2017-12-31,Q19b
Other source,2,0,2,1.0,0,0,0,0.0,0,0,0,0.0,adults,2017-12-01,2017-12-31,Q19b
No Sources,13,28,41,0.32,0,3,3,0.0,0,0,0,0.0,adults,2017-12-01,2017-12-31,Q19b
Unduplicated Total Adults,33,50,83,NA,4,21,25,NA,0,0,0,NA,adults,2017-12-01,2017-12-31,Q19b
