count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2017-12-01,2017-12-31,Q20b,benefit_at_entry,269
No Sources,all_persons,2017-12-01,2017-12-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,21
No Sources,all_persons,2017-12-01,2017-12-31,Q20b,benefit_at_exit_for_leavers,79
1 + Source(s),all_persons,2017-12-01,2017-12-31,Q20b,benefit_at_entry,127
1 + Source(s),all_persons,2017-12-01,2017-12-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,21
1 + Source(s),all_persons,2017-12-01,2017-12-31,Q20b,benefit_at_exit_for_leavers,31
Client Doesn't Know/Client Refused,all_persons,2017-12-01,2017-12-31,Q20b,benefit_at_entry,1
Client Doesn't Know/Client Refused,all_persons,2017-12-01,2017-12-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2017-12-01,2017-12-31,Q20b,benefit_at_exit_for_leavers,2
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2017-12-01,2017-12-31,Q20b,benefit_at_entry,28
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2017-12-01,2017-12-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,264
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2017-12-01,2017-12-31,Q20b,benefit_at_exit_for_leavers,7
