veteran_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,20,all_households,2021-11-01,2021-11-30,Q25b,without_children,20
Chronically Homeless Veteran,20,all_households,2021-11-01,2021-11-30,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,20,all_households,2021-11-01,2021-11-30,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,50,all_households,2021-11-01,2021-11-30,Q25b,without_children,48
Non-Chronically Homeless Veteran,50,all_households,2021-11-01,2021-11-30,Q25b,with_children_and_adults,2
Non-Chronically Homeless Veteran,50,all_households,2021-11-01,2021-11-30,Q25b,unknown_household_type,0
Not a Veteran,892,all_households,2021-11-01,2021-11-30,Q25b,without_children,762
Not a Veteran,892,all_households,2021-11-01,2021-11-30,Q25b,with_children_and_adults,128
Not a Veteran,892,all_households,2021-11-01,2021-11-30,Q25b,unknown_household_type,2
Client Doesn't Know/Client Refused,1,all_households,2021-11-01,2021-11-30,Q25b,without_children,1
Client Doesn't Know/Client Refused,1,all_households,2021-11-01,2021-11-30,Q25b,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_households,2021-11-01,2021-11-30,Q25b,unknown_household_type,0
Data Not Collected,16,all_households,2021-11-01,2021-11-30,Q25b,without_children,15
Data Not Collected,16,all_households,2021-11-01,2021-11-30,Q25b,with_children_and_adults,1
Data Not Collected,16,all_households,2021-11-01,2021-11-30,Q25b,unknown_household_type,0
