income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,12,16,28,0.43,1,4,5,0.2,0,0,0,0.0,adults,2021-11-01,2021-11-30,Q19b
Supplemental Security Income (SSI),12,0,12,1.0,0,0,0,0.0,0,0,0,0.0,adults,2021-11-01,2021-11-30,Q19b
Social Security Disability Insurance (SSDI),14,0,14,1.0,0,0,0,0.0,0,0,0,0.0,adults,2021-11-01,2021-11-30,Q19b
VA Service-Connected Disability Compensation,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2021-11-01,2021-11-30,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2021-11-01,2021-11-30,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2021-11-01,2021-11-30,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0.0,0,1,1,0.0,0,0,0,0.0,adults,2021-11-01,2021-11-30,Q19b
Retirement Income from Social Security,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2021-11-01,2021-11-30,Q19b
Pension or retirement income from a former job,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2021-11-01,2021-11-30,Q19b
Child Support,0,0,0,0.0,0,1,1,0.0,0,0,0,0.0,adults,2021-11-01,2021-11-30,Q19b
Other source,3,2,5,0.6,0,0,0,0.0,0,0,0,0.0,adults,2021-11-01,2021-11-30,Q19b
No Sources,18,30,48,0.38,0,6,6,0.0,0,0,0,0.0,adults,2021-11-01,2021-11-30,Q19b
Unduplicated Total Adults,52,48,100,NA,1,11,12,NA,0,0,0,NA,adults,2021-11-01,2021-11-30,Q19b
