number_of_chronically_homeless_persons_by_income_category,population,start_date,end_date,question,status,count
"Chronically Homeless Persons with Only Earned Income (i.e., Employment Income)",chronically_homeless,2021-11-01,2021-11-30,Q26f,number_of_chronically_homeless_persons_at_start,25
"Chronically Homeless Persons with Only Earned Income (i.e., Employment Income)",chronically_homeless,2021-11-01,2021-11-30,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,7
"Chronically Homeless Persons with Only Earned Income (i.e., Employment Income)",chronically_homeless,2021-11-01,2021-11-30,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,2
Chronically Homeless Persons with Only Other Income,chronically_homeless,2021-11-01,2021-11-30,Q26f,number_of_chronically_homeless_persons_at_start,59
Chronically Homeless Persons with Only Other Income,chronically_homeless,2021-11-01,2021-11-30,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,26
Chronically Homeless Persons with Only Other Income,chronically_homeless,2021-11-01,2021-11-30,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,5
Chronically Homeless Persons with Both Earned and Other Income,chronically_homeless,2021-11-01,2021-11-30,Q26f,number_of_chronically_homeless_persons_at_start,5
Chronically Homeless Persons with Both Earned and Other Income,chronically_homeless,2021-11-01,2021-11-30,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,0
Chronically Homeless Persons with Both Earned and Other Income,chronically_homeless,2021-11-01,2021-11-30,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Chronically Homeless Persons with No Income,chronically_homeless,2021-11-01,2021-11-30,Q26f,number_of_chronically_homeless_persons_at_start,96
Chronically Homeless Persons with No Income,chronically_homeless,2021-11-01,2021-11-30,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,9
Chronically Homeless Persons with No Income,chronically_homeless,2021-11-01,2021-11-30,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,15
Chronically Homeless Persons with Client Doesn't Know/Client Refused Income Information,chronically_homeless,2021-11-01,2021-11-30,Q26f,number_of_chronically_homeless_persons_at_start,0
Chronically Homeless Persons with Client Doesn't Know/Client Refused Income Information,chronically_homeless,2021-11-01,2021-11-30,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,0
Chronically Homeless Persons with Client Doesn't Know/Client Refused Income Information,chronically_homeless,2021-11-01,2021-11-30,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Chronically Homeless Persons with Missing Income Information,chronically_homeless,2021-11-01,2021-11-30,Q26f,number_of_chronically_homeless_persons_at_start,0
Chronically Homeless Persons with Missing Income Information,chronically_homeless,2021-11-01,2021-11-30,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,0
Chronically Homeless Persons with Missing Income Information,chronically_homeless,2021-11-01,2021-11-30,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Number of Chronically Homeless Persons not yet required to have an annual assessment,chronically_homeless,2021-11-01,2021-11-30,Q26f,number_of_chronically_homeless_persons_at_start,0
Number of Chronically Homeless Persons not yet required to have an annual assessment,chronically_homeless,2021-11-01,2021-11-30,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,89
Number of Chronically Homeless Persons not yet required to have an annual assessment,chronically_homeless,2021-11-01,2021-11-30,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Number of Chronically Homeless Persons without required annual assessment,chronically_homeless,2021-11-01,2021-11-30,Q26f,number_of_chronically_homeless_persons_at_start,0
Number of Chronically Homeless Persons without required annual assessment,chronically_homeless,2021-11-01,2021-11-30,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,32
Number of Chronically Homeless Persons without required annual assessment,chronically_homeless,2021-11-01,2021-11-30,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Total Chronically Homeless Persons,chronically_homeless,2021-11-01,2021-11-30,Q26f,number_of_chronically_homeless_persons_at_start,185
Total Chronically Homeless Persons,chronically_homeless,2021-11-01,2021-11-30,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,163
Total Chronically Homeless Persons,chronically_homeless,2021-11-01,2021-11-30,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,22
