report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,1551,all_persons,2021-11-01,2021-11-30,Q5a
Number of Adults (age 18 or over),1203,all_persons,2021-11-01,2021-11-30,Q5a
Number of Children (under age 18),337,all_persons,2021-11-01,2021-11-30,Q5a
Number of Persons with Unknown Age,11,all_persons,2021-11-01,2021-11-30,Q5a
Number of Leavers,202,all_persons,2021-11-01,2021-11-30,Q5a
Number of Adult Leavers,170,all_persons,2021-11-01,2021-11-30,Q5a
Number of Adult and Head of Household Leavers,171,all_persons,2021-11-01,2021-11-30,Q5a
Number of Stayers,1349,all_persons,2021-11-01,2021-11-30,Q5a
Number of Adult Stayers,1033,all_persons,2021-11-01,2021-11-30,Q5a
Number of Veterans,74,all_persons,2021-11-01,2021-11-30,Q5a
Number of Chronically Homeless Persons,197,all_persons,2021-11-01,2021-11-30,Q5a
Number of Youth Under Age 25,93,all_persons,2021-11-01,2021-11-30,Q5a
Number of Parenting Youth Under Age 25 with Children,13,all_persons,2021-11-01,2021-11-30,Q5a
Number of Adult Heads of Household,983,all_persons,2021-11-01,2021-11-30,Q5a
Number of Child and Unknown-Age Heads of Household,2,all_persons,2021-11-01,2021-11-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,443,all_persons,2021-11-01,2021-11-30,Q5a
