count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2021-11-01,2021-11-30,Q20b,benefit_at_entry,657
No Sources,all_persons,2021-11-01,2021-11-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,22
No Sources,all_persons,2021-11-01,2021-11-30,Q20b,benefit_at_exit_for_leavers,79
1 + Source(s),all_persons,2021-11-01,2021-11-30,Q20b,benefit_at_entry,388
1 + Source(s),all_persons,2021-11-01,2021-11-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,37
1 + Source(s),all_persons,2021-11-01,2021-11-30,Q20b,benefit_at_exit_for_leavers,58
Client Doesn't Know/Client Refused,all_persons,2021-11-01,2021-11-30,Q20b,benefit_at_entry,4
Client Doesn't Know/Client Refused,all_persons,2021-11-01,2021-11-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2021-11-01,2021-11-30,Q20b,benefit_at_exit_for_leavers,1
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2021-11-01,2021-11-30,Q20b,benefit_at_entry,154
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2021-11-01,2021-11-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,974
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2021-11-01,2021-11-30,Q20b,benefit_at_exit_for_leavers,32
