veteran_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,1,all_households,2015-07-01,2015-07-31,Q25b,without_children,1
Chronically Homeless Veteran,1,all_households,2015-07-01,2015-07-31,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,1,all_households,2015-07-01,2015-07-31,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,10,all_households,2015-07-01,2015-07-31,Q25b,without_children,8
Non-Chronically Homeless Veteran,10,all_households,2015-07-01,2015-07-31,Q25b,with_children_and_adults,2
Non-Chronically Homeless Veteran,10,all_households,2015-07-01,2015-07-31,Q25b,unknown_household_type,0
Not a Veteran,281,all_households,2015-07-01,2015-07-31,Q25b,without_children,211
Not a Veteran,281,all_households,2015-07-01,2015-07-31,Q25b,with_children_and_adults,70
Not a Veteran,281,all_households,2015-07-01,2015-07-31,Q25b,unknown_household_type,0
Client Doesn't Know/Client Refused,2,all_households,2015-07-01,2015-07-31,Q25b,without_children,2
Client Doesn't Know/Client Refused,2,all_households,2015-07-01,2015-07-31,Q25b,with_children_and_adults,0
Client Doesn't Know/Client Refused,2,all_households,2015-07-01,2015-07-31,Q25b,unknown_household_type,0
Data Not Collected,6,all_households,2015-07-01,2015-07-31,Q25b,without_children,6
Data Not Collected,6,all_households,2015-07-01,2015-07-31,Q25b,with_children_and_adults,0
Data Not Collected,6,all_households,2015-07-01,2015-07-31,Q25b,unknown_household_type,0
