report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,547,all_persons,2015-07-01,2015-07-31,Q5a
Number of Adults (age 18 or over),379,all_persons,2015-07-01,2015-07-31,Q5a
Number of Children (under age 18),167,all_persons,2015-07-01,2015-07-31,Q5a
Number of Persons with Unknown Age,1,all_persons,2015-07-01,2015-07-31,Q5a
Number of Leavers,151,all_persons,2015-07-01,2015-07-31,Q5a
Number of Adult Leavers,97,all_persons,2015-07-01,2015-07-31,Q5a
Number of Adult and Head of Household Leavers,97,all_persons,2015-07-01,2015-07-31,Q5a
Number of Stayers,396,all_persons,2015-07-01,2015-07-31,Q5a
Number of Adult Stayers,282,all_persons,2015-07-01,2015-07-31,Q5a
Number of Veterans,13,all_persons,2015-07-01,2015-07-31,Q5a
Number of Chronically Homeless Persons,16,all_persons,2015-07-01,2015-07-31,Q5a
Number of Youth Under Age 25,25,all_persons,2015-07-01,2015-07-31,Q5a
Number of Parenting Youth Under Age 25 with Children,8,all_persons,2015-07-01,2015-07-31,Q5a
Number of Adult Heads of Household,306,all_persons,2015-07-01,2015-07-31,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2015-07-01,2015-07-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,99,all_persons,2015-07-01,2015-07-31,Q5a
