living_situation,total,population,start_date,end_date,question,category,household_type,count
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",4,youth,2015-07-01,2015-07-31,Q27d,Homeless Situations,without_children,2
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",4,youth,2015-07-01,2015-07-31,Q27d,Homeless Situations,with_children_and_adults,2
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",4,youth,2015-07-01,2015-07-31,Q27d,Homeless Situations,with_only_children,0
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",4,youth,2015-07-01,2015-07-31,Q27d,Homeless Situations,unknown_household_type,0
Transitional housing for homeless persons (including homeless youth),0,youth,2015-07-01,2015-07-31,Q27d,Homeless Situations,without_children,0
Transitional housing for homeless persons (including homeless youth),0,youth,2015-07-01,2015-07-31,Q27d,Homeless Situations,with_children_and_adults,0
Transitional housing for homeless persons (including homeless youth),0,youth,2015-07-01,2015-07-31,Q27d,Homeless Situations,with_only_children,0
Transitional housing for homeless persons (including homeless youth),0,youth,2015-07-01,2015-07-31,Q27d,Homeless Situations,unknown_household_type,0
Place not meant for human habitation,2,youth,2015-07-01,2015-07-31,Q27d,Homeless Situations,without_children,1
Place not meant for human habitation,2,youth,2015-07-01,2015-07-31,Q27d,Homeless Situations,with_children_and_adults,1
Place not meant for human habitation,2,youth,2015-07-01,2015-07-31,Q27d,Homeless Situations,with_only_children,0
Place not meant for human habitation,2,youth,2015-07-01,2015-07-31,Q27d,Homeless Situations,unknown_household_type,0
Safe Haven,0,youth,2015-07-01,2015-07-31,Q27d,Homeless Situations,without_children,0
Safe Haven,0,youth,2015-07-01,2015-07-31,Q27d,Homeless Situations,with_children_and_adults,0
Safe Haven,0,youth,2015-07-01,2015-07-31,Q27d,Homeless Situations,with_only_children,0
Safe Haven,0,youth,2015-07-01,2015-07-31,Q27d,Homeless Situations,unknown_household_type,0
Host Home,0,youth,2015-07-01,2015-07-31,Q27d,Homeless Situations,without_children,0
Host Home,0,youth,2015-07-01,2015-07-31,Q27d,Homeless Situations,with_children_and_adults,0
Host Home,0,youth,2015-07-01,2015-07-31,Q27d,Homeless Situations,with_only_children,0
Host Home,0,youth,2015-07-01,2015-07-31,Q27d,Homeless Situations,unknown_household_type,0
Psychiatric hospital or other psychiatric facility,0,youth,2015-07-01,2015-07-31,Q27d,Institutional Settings,without_children,0
Psychiatric hospital or other psychiatric facility,0,youth,2015-07-01,2015-07-31,Q27d,Institutional Settings,with_children_and_adults,0
Psychiatric hospital or other psychiatric facility,0,youth,2015-07-01,2015-07-31,Q27d,Institutional Settings,with_only_children,0
Psychiatric hospital or other psychiatric facility,0,youth,2015-07-01,2015-07-31,Q27d,Institutional Settings,unknown_household_type,0
Substance abuse treatment facility or detox center,0,youth,2015-07-01,2015-07-31,Q27d,Institutional Settings,without_children,0
Substance abuse treatment facility or detox center,0,youth,2015-07-01,2015-07-31,Q27d,Institutional Settings,with_children_and_adults,0
