race,total,population,start_date,end_date,question,household_type,count
White,377,all_persons,2015-07-01,2015-07-31,Q12a,without_children,190
White,377,all_persons,2015-07-01,2015-07-31,Q12a,with_children_and_adults,186
White,377,all_persons,2015-07-01,2015-07-31,Q12a,with_only_children,0
White,377,all_persons,2015-07-01,2015-07-31,Q12a,unknown_household_type,1
"Black, African American, or African",118,all_persons,2015-07-01,2015-07-31,Q12a,without_children,61
"Black, African American, or African",118,all_persons,2015-07-01,2015-07-31,Q12a,with_children_and_adults,55
"Black, African American, or African",118,all_persons,2015-07-01,2015-07-31,Q12a,with_only_children,2
"Black, African American, or African",118,all_persons,2015-07-01,2015-07-31,Q12a,unknown_household_type,0
Asian or Asian American,1,all_persons,2015-07-01,2015-07-31,Q12a,without_children,1
Asian or Asian American,1,all_persons,2015-07-01,2015-07-31,Q12a,with_children_and_adults,0
Asian or Asian American,1,all_persons,2015-07-01,2015-07-31,Q12a,with_only_children,0
Asian or Asian American,1,all_persons,2015-07-01,2015-07-31,Q12a,unknown_household_type,0
"American Indian, Alaska Native, or Indigenous",0,all_persons,2015-07-01,2015-07-31,Q12a,without_children,0
"American Indian, Alaska Native, or Indigenous",0,all_persons,2015-07-01,2015-07-31,Q12a,with_children_and_adults,0
"American Indian, Alaska Native, or Indigenous",0,all_persons,2015-07-01,2015-07-31,Q12a,with_only_children,0
"American Indian, Alaska Native, or Indigenous",0,all_persons,2015-07-01,2015-07-31,Q12a,unknown_household_type,0
Native Hawaiian or Pacific Islander,0,all_persons,2015-07-01,2015-07-31,Q12a,without_children,0
Native Hawaiian or Pacific Islander,0,all_persons,2015-07-01,2015-07-31,Q12a,with_children_and_adults,0
Native Hawaiian or Pacific Islander,0,all_persons,2015-07-01,2015-07-31,Q12a,with_only_children,0
Native Hawaiian or Pacific Islander,0,all_persons,2015-07-01,2015-07-31,Q12a,unknown_household_type,0
Multiple Races,48,all_persons,2015-07-01,2015-07-31,Q12a,without_children,15
Multiple Races,48,all_persons,2015-07-01,2015-07-31,Q12a,with_children_and_adults,33
Multiple Races,48,all_persons,2015-07-01,2015-07-31,Q12a,with_only_children,0
Multiple Races,48,all_persons,2015-07-01,2015-07-31,Q12a,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2015-07-01,2015-07-31,Q12a,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2015-07-01,2015-07-31,Q12a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2015-07-01,2015-07-31,Q12a,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2015-07-01,2015-07-31,Q12a,unknown_household_type,0
Data Not Collected,2,all_persons,2015-07-01,2015-07-31,Q12a,without_children,1
Data Not Collected,2,all_persons,2015-07-01,2015-07-31,Q12a,with_children_and_adults,0
Data Not Collected,2,all_persons,2015-07-01,2015-07-31,Q12a,with_only_children,0
Data Not Collected,2,all_persons,2015-07-01,2015-07-31,Q12a,unknown_household_type,1
