, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",19,6,2
"""Unemployment Insurance""",1,0,1
"""Supplemental Security Income (SSI)""",42,15,8
"""Social Security Disability Insurance (SSDI)""",29,9,4
"""VA Service - Connected Disability Compensation""",4,2,2
"""VA Non-Service Connected Disability Pension""",2,1,0
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",2,1,0
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",6,1,2
"""Pension or retirement income from a former job""",2,0,0
"""Child Support""",1,0,0
"""Alimony and other spousal support""",0,0,0
"""Other Source""",1,1,0
"""Chronically Homeless Persons with Income Information at Start and Annual Assessment/Exit""",0,44,0
