"""Total Number of Persons Served""",1201
"""Number of Adults (age 18 or over)""",926
"""Number of Children (under age 18)""",265
"""Number of Persons with Unknown Age""",10
"""Number of Leavers""",208
"""Number of Adult Leavers""",182
"""Number of Adult and Head of Household Leavers""",182
"""Number of Stayers""",993
"""Number of Adult Stayers""",744
"""Number of Veterans""",53
"""Number of Chronically Homeless Persons""",179
"""Number of Youth Under Age 25""",75
"""Number of Parenting Youth Under Age 25 with Children""",15
"""Number of Adult Heads of Household""",777
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",333
