number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_start,164
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_annual_assessment_stayers,6
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_exit_leavers,18
Adults with Only Other Income,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_start,192
Adults with Only Other Income,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_annual_assessment_stayers,39
Adults with Only Other Income,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_exit_leavers,23
Adults with Both Earned and Other Income,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_start,26
Adults with Both Earned and Other Income,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Both Earned and Other Income,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_exit_leavers,6
Adults with No Income,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_start,512
Adults with No Income,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_annual_assessment_stayers,13
Adults with No Income,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_exit_leavers,95
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_start,1
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_start,23
Adults with Missing Income Information,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_exit_leavers,2
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_annual_assessment_stayers,401
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_annual_assessment_stayers,319
Number of Adult Stayers without Required Annual Assessment,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_start,922
Total Adults,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_annual_assessment_stayers,778
Total Adults,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_exit_leavers,144
1 or More Source of Income,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_start,434
1 or More Source of Income,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_annual_assessment_stayers,46
1 or More Source of Income,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_exit_leavers,54
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_annual_assessment_stayers,58
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2021-07-01,2021-07-31,Q18,number_of_adults_at_exit_leavers,0
