report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,1189,all_persons,2021-07-01,2021-07-31,Q5a
Number of Adults (age 18 or over),922,all_persons,2021-07-01,2021-07-31,Q5a
Number of Children (under age 18),257,all_persons,2021-07-01,2021-07-31,Q5a
Number of Persons with Unknown Age,10,all_persons,2021-07-01,2021-07-31,Q5a
Number of Leavers,192,all_persons,2021-07-01,2021-07-31,Q5a
Number of Adult Leavers,144,all_persons,2021-07-01,2021-07-31,Q5a
Number of Adult and Head of Household Leavers,144,all_persons,2021-07-01,2021-07-31,Q5a
Number of Stayers,997,all_persons,2021-07-01,2021-07-31,Q5a
Number of Adult Stayers,778,all_persons,2021-07-01,2021-07-31,Q5a
Number of Veterans,55,all_persons,2021-07-01,2021-07-31,Q5a
Number of Chronically Homeless Persons,173,all_persons,2021-07-01,2021-07-31,Q5a
Number of Youth Under Age 25,58,all_persons,2021-07-01,2021-07-31,Q5a
Number of Parenting Youth Under Age 25 with Children,8,all_persons,2021-07-01,2021-07-31,Q5a
Number of Adult Heads of Household,753,all_persons,2021-07-01,2021-07-31,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2021-07-01,2021-07-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,377,all_persons,2021-07-01,2021-07-31,Q5a
