count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2021-07-01,2021-07-31,Q20b,benefit_at_entry,524
No Sources,all_persons,2021-07-01,2021-07-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,23
No Sources,all_persons,2021-07-01,2021-07-31,Q20b,benefit_at_exit_for_leavers,76
1 + Source(s),all_persons,2021-07-01,2021-07-31,Q20b,benefit_at_entry,294
1 + Source(s),all_persons,2021-07-01,2021-07-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,34
1 + Source(s),all_persons,2021-07-01,2021-07-31,Q20b,benefit_at_exit_for_leavers,42
Client Doesn't Know/Client Refused,all_persons,2021-07-01,2021-07-31,Q20b,benefit_at_entry,2
Client Doesn't Know/Client Refused,all_persons,2021-07-01,2021-07-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2021-07-01,2021-07-31,Q20b,benefit_at_exit_for_leavers,0
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2021-07-01,2021-07-31,Q20b,benefit_at_entry,102
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2021-07-01,2021-07-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,721
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2021-07-01,2021-07-31,Q20b,benefit_at_exit_for_leavers,26
