veteran_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,18,all_households,2021-07-01,2021-07-31,Q25b,without_children,18
Chronically Homeless Veteran,18,all_households,2021-07-01,2021-07-31,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,18,all_households,2021-07-01,2021-07-31,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,35,all_households,2021-07-01,2021-07-31,Q25b,without_children,35
Non-Chronically Homeless Veteran,35,all_households,2021-07-01,2021-07-31,Q25b,with_children_and_adults,0
Non-Chronically Homeless Veteran,35,all_households,2021-07-01,2021-07-31,Q25b,unknown_household_type,0
Not a Veteran,687,all_households,2021-07-01,2021-07-31,Q25b,without_children,584
Not a Veteran,687,all_households,2021-07-01,2021-07-31,Q25b,with_children_and_adults,101
Not a Veteran,687,all_households,2021-07-01,2021-07-31,Q25b,unknown_household_type,2
Client Doesn't Know/Client Refused,1,all_households,2021-07-01,2021-07-31,Q25b,without_children,1
Client Doesn't Know/Client Refused,1,all_households,2021-07-01,2021-07-31,Q25b,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_households,2021-07-01,2021-07-31,Q25b,unknown_household_type,0
Data Not Collected,10,all_households,2021-07-01,2021-07-31,Q25b,without_children,10
Data Not Collected,10,all_households,2021-07-01,2021-07-31,Q25b,with_children_and_adults,0
Data Not Collected,10,all_households,2021-07-01,2021-07-31,Q25b,unknown_household_type,0
