number_of_chronically_homeless_persons_by_income_category,population,start_date,end_date,question,status,count
"Chronically Homeless Persons with Only Earned Income (i.e., Employment Income)",chronically_homeless,2022-04-01,2022-04-30,Q26f,number_of_chronically_homeless_persons_at_start,21
"Chronically Homeless Persons with Only Earned Income (i.e., Employment Income)",chronically_homeless,2022-04-01,2022-04-30,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,8
"Chronically Homeless Persons with Only Earned Income (i.e., Employment Income)",chronically_homeless,2022-04-01,2022-04-30,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,4
Chronically Homeless Persons with Only Other Income,chronically_homeless,2022-04-01,2022-04-30,Q26f,number_of_chronically_homeless_persons_at_start,65
Chronically Homeless Persons with Only Other Income,chronically_homeless,2022-04-01,2022-04-30,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,21
Chronically Homeless Persons with Only Other Income,chronically_homeless,2022-04-01,2022-04-30,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,11
Chronically Homeless Persons with Both Earned and Other Income,chronically_homeless,2022-04-01,2022-04-30,Q26f,number_of_chronically_homeless_persons_at_start,8
Chronically Homeless Persons with Both Earned and Other Income,chronically_homeless,2022-04-01,2022-04-30,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,2
Chronically Homeless Persons with Both Earned and Other Income,chronically_homeless,2022-04-01,2022-04-30,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,2
Chronically Homeless Persons with No Income,chronically_homeless,2022-04-01,2022-04-30,Q26f,number_of_chronically_homeless_persons_at_start,118
Chronically Homeless Persons with No Income,chronically_homeless,2022-04-01,2022-04-30,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,7
Chronically Homeless Persons with No Income,chronically_homeless,2022-04-01,2022-04-30,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,17
Chronically Homeless Persons with Client Doesn't Know/Client Refused Income Information,chronically_homeless,2022-04-01,2022-04-30,Q26f,number_of_chronically_homeless_persons_at_start,0
Chronically Homeless Persons with Client Doesn't Know/Client Refused Income Information,chronically_homeless,2022-04-01,2022-04-30,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,0
Chronically Homeless Persons with Client Doesn't Know/Client Refused Income Information,chronically_homeless,2022-04-01,2022-04-30,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Chronically Homeless Persons with Missing Income Information,chronically_homeless,2022-04-01,2022-04-30,Q26f,number_of_chronically_homeless_persons_at_start,4
Chronically Homeless Persons with Missing Income Information,chronically_homeless,2022-04-01,2022-04-30,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,0
Chronically Homeless Persons with Missing Income Information,chronically_homeless,2022-04-01,2022-04-30,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Number of Chronically Homeless Persons not yet required to have an annual assessment,chronically_homeless,2022-04-01,2022-04-30,Q26f,number_of_chronically_homeless_persons_at_start,0
Number of Chronically Homeless Persons not yet required to have an annual assessment,chronically_homeless,2022-04-01,2022-04-30,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,107
Number of Chronically Homeless Persons not yet required to have an annual assessment,chronically_homeless,2022-04-01,2022-04-30,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Number of Chronically Homeless Persons without required annual assessment,chronically_homeless,2022-04-01,2022-04-30,Q26f,number_of_chronically_homeless_persons_at_start,0
Number of Chronically Homeless Persons without required annual assessment,chronically_homeless,2022-04-01,2022-04-30,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,37
Number of Chronically Homeless Persons without required annual assessment,chronically_homeless,2022-04-01,2022-04-30,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Total Chronically Homeless Persons,chronically_homeless,2022-04-01,2022-04-30,Q26f,number_of_chronically_homeless_persons_at_start,216
Total Chronically Homeless Persons,chronically_homeless,2022-04-01,2022-04-30,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,182
Total Chronically Homeless Persons,chronically_homeless,2022-04-01,2022-04-30,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,34
