length,total,population,start_date,end_date,question,status,count
30 days or less,401,all_persons,2022-04-01,2022-04-30,Q22a1,leavers,193
30 days or less,401,all_persons,2022-04-01,2022-04-30,Q22a1,stayers,208
31 to 60 days,149,all_persons,2022-04-01,2022-04-30,Q22a1,leavers,22
31 to 60 days,149,all_persons,2022-04-01,2022-04-30,Q22a1,stayers,127
61 to 90 days,98,all_persons,2022-04-01,2022-04-30,Q22a1,leavers,14
61 to 90 days,98,all_persons,2022-04-01,2022-04-30,Q22a1,stayers,84
91 to 180 days,274,all_persons,2022-04-01,2022-04-30,Q22a1,leavers,46
91 to 180 days,274,all_persons,2022-04-01,2022-04-30,Q22a1,stayers,228
181 to 365 days,313,all_persons,2022-04-01,2022-04-30,Q22a1,leavers,19
181 to 365 days,313,all_persons,2022-04-01,2022-04-30,Q22a1,stayers,294
366 to 730 Days (1-2 Yrs),155,all_persons,2022-04-01,2022-04-30,Q22a1,leavers,5
366 to 730 Days (1-2 Yrs),155,all_persons,2022-04-01,2022-04-30,Q22a1,stayers,150
"731 to 1,095 Days (2-3 Yrs)",251,all_persons,2022-04-01,2022-04-30,Q22a1,leavers,0
"731 to 1,095 Days (2-3 Yrs)",251,all_persons,2022-04-01,2022-04-30,Q22a1,stayers,251
"1,096 to 1,460 Days (3-4 Yrs)",123,all_persons,2022-04-01,2022-04-30,Q22a1,leavers,0
"1,096 to 1,460 Days (3-4 Yrs)",123,all_persons,2022-04-01,2022-04-30,Q22a1,stayers,123
"1,461 to 1,825 Days (5-5 Yrs)",39,all_persons,2022-04-01,2022-04-30,Q22a1,leavers,0
"1,461 to 1,825 Days (5-5 Yrs)",39,all_persons,2022-04-01,2022-04-30,Q22a1,stayers,39
"More than 1,825 Days (>5 Yrs)",68,all_persons,2022-04-01,2022-04-30,Q22a1,leavers,1
"More than 1,825 Days (>5 Yrs)",68,all_persons,2022-04-01,2022-04-30,Q22a1,stayers,67
Data Not Collected,0,all_persons,2022-04-01,2022-04-30,Q22a1,leavers,0
Data Not Collected,0,all_persons,2022-04-01,2022-04-30,Q22a1,stayers,0
