ch_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless ,195,all_households,2022-04-01,2022-04-30,Q26a,without_children,191
Chronically Homeless ,195,all_households,2022-04-01,2022-04-30,Q26a,with_children_and_adults,4
Chronically Homeless ,195,all_households,2022-04-01,2022-04-30,Q26a,with_only_children,0
Chronically Homeless ,195,all_households,2022-04-01,2022-04-30,Q26a,unknown_household_type,0
Not Chronically Homeless,875,all_households,2022-04-01,2022-04-30,Q26a,without_children,711
Not Chronically Homeless,875,all_households,2022-04-01,2022-04-30,Q26a,with_children_and_adults,163
Not Chronically Homeless,875,all_households,2022-04-01,2022-04-30,Q26a,with_only_children,0
Not Chronically Homeless,875,all_households,2022-04-01,2022-04-30,Q26a,unknown_household_type,1
Client Doesn't Know/Client Refused,28,all_households,2022-04-01,2022-04-30,Q26a,without_children,28
Client Doesn't Know/Client Refused,28,all_households,2022-04-01,2022-04-30,Q26a,with_children_and_adults,0
Client Doesn't Know/Client Refused,28,all_households,2022-04-01,2022-04-30,Q26a,with_only_children,0
Client Doesn't Know/Client Refused,28,all_households,2022-04-01,2022-04-30,Q26a,unknown_household_type,0
Data Not Collected,64,all_households,2022-04-01,2022-04-30,Q26a,without_children,47
Data Not Collected,64,all_households,2022-04-01,2022-04-30,Q26a,with_children_and_adults,14
Data Not Collected,64,all_households,2022-04-01,2022-04-30,Q26a,with_only_children,0
Data Not Collected,64,all_households,2022-04-01,2022-04-30,Q26a,unknown_household_type,3
