report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,1871,all_persons,2022-04-01,2022-04-30,Q5a
Number of Adults (age 18 or over),1432,all_persons,2022-04-01,2022-04-30,Q5a
Number of Children (under age 18),425,all_persons,2022-04-01,2022-04-30,Q5a
Number of Persons with Unknown Age,14,all_persons,2022-04-01,2022-04-30,Q5a
Number of Leavers,300,all_persons,2022-04-01,2022-04-30,Q5a
Number of Adult Leavers,225,all_persons,2022-04-01,2022-04-30,Q5a
Number of Adult and Head of Household Leavers,226,all_persons,2022-04-01,2022-04-30,Q5a
Number of Stayers,1571,all_persons,2022-04-01,2022-04-30,Q5a
Number of Adult Stayers,1207,all_persons,2022-04-01,2022-04-30,Q5a
Number of Veterans,79,all_persons,2022-04-01,2022-04-30,Q5a
Number of Chronically Homeless Persons,224,all_persons,2022-04-01,2022-04-30,Q5a
Number of Youth Under Age 25,107,all_persons,2022-04-01,2022-04-30,Q5a
Number of Parenting Youth Under Age 25 with Children,11,all_persons,2022-04-01,2022-04-30,Q5a
Number of Adult Heads of Household,1158,all_persons,2022-04-01,2022-04-30,Q5a
Number of Child and Unknown-Age Heads of Household,4,all_persons,2022-04-01,2022-04-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,465,all_persons,2022-04-01,2022-04-30,Q5a
