income_range,population,start_date,end_date,question,status,count
No Income,adults,2022-04-01,2022-04-30,Q16,income_at_start,586
No Income,adults,2022-04-01,2022-04-30,Q16,income_at_latest_annual_assessment_for_stayers,10
No Income,adults,2022-04-01,2022-04-30,Q16,income_at_exit_for_leavers,59
$1 -  $150,adults,2022-04-01,2022-04-30,Q16,income_at_start,5
$1 -  $150,adults,2022-04-01,2022-04-30,Q16,income_at_latest_annual_assessment_for_stayers,0
$1 -  $150,adults,2022-04-01,2022-04-30,Q16,income_at_exit_for_leavers,1
$151 - $250,adults,2022-04-01,2022-04-30,Q16,income_at_start,5
$151 - $250,adults,2022-04-01,2022-04-30,Q16,income_at_latest_annual_assessment_for_stayers,0
$151 - $250,adults,2022-04-01,2022-04-30,Q16,income_at_exit_for_leavers,1
$251 - $500,adults,2022-04-01,2022-04-30,Q16,income_at_start,29
$251 - $500,adults,2022-04-01,2022-04-30,Q16,income_at_latest_annual_assessment_for_stayers,2
$251 - $500,adults,2022-04-01,2022-04-30,Q16,income_at_exit_for_leavers,4
$501 - $1000,adults,2022-04-01,2022-04-30,Q16,income_at_start,174
$501 - $1000,adults,2022-04-01,2022-04-30,Q16,income_at_latest_annual_assessment_for_stayers,16
$501 - $1000,adults,2022-04-01,2022-04-30,Q16,income_at_exit_for_leavers,30
$1001 - $1500,adults,2022-04-01,2022-04-30,Q16,income_at_start,104
$1001 - $1500,adults,2022-04-01,2022-04-30,Q16,income_at_latest_annual_assessment_for_stayers,14
$1001 - $1500,adults,2022-04-01,2022-04-30,Q16,income_at_exit_for_leavers,12
$1501 - $2000,adults,2022-04-01,2022-04-30,Q16,income_at_start,107
$1501 - $2000,adults,2022-04-01,2022-04-30,Q16,income_at_latest_annual_assessment_for_stayers,6
$1501 - $2000,adults,2022-04-01,2022-04-30,Q16,income_at_exit_for_leavers,17
$2001+,adults,2022-04-01,2022-04-30,Q16,income_at_start,103
$2001+,adults,2022-04-01,2022-04-30,Q16,income_at_latest_annual_assessment_for_stayers,7
$2001+,adults,2022-04-01,2022-04-30,Q16,income_at_exit_for_leavers,27
Client Doesn't Know/Client Refused,adults,2022-04-01,2022-04-30,Q16,income_at_start,3
Client Doesn't Know/Client Refused,adults,2022-04-01,2022-04-30,Q16,income_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,adults,2022-04-01,2022-04-30,Q16,income_at_exit_for_leavers,0
Data Not Collected,adults,2022-04-01,2022-04-30,Q16,income_at_start,316
Data Not Collected,adults,2022-04-01,2022-04-30,Q16,income_at_latest_annual_assessment_for_stayers,0
Data Not Collected,adults,2022-04-01,2022-04-30,Q16,income_at_exit_for_leavers,74
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2022-04-01,2022-04-30,Q16,income_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2022-04-01,2022-04-30,Q16,income_at_latest_annual_assessment_for_stayers,742
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2022-04-01,2022-04-30,Q16,income_at_exit_for_leavers,0
Number of Adult Stayers without Required Annual Assessment,adults,2022-04-01,2022-04-30,Q16,income_at_start,0
Number of Adult Stayers without Required Annual Assessment,adults,2022-04-01,2022-04-30,Q16,income_at_latest_annual_assessment_for_stayers,410
Number of Adult Stayers without Required Annual Assessment,adults,2022-04-01,2022-04-30,Q16,income_at_exit_for_leavers,0
Total Adults,adults,2022-04-01,2022-04-30,Q16,income_at_start,1432
Total Adults,adults,2022-04-01,2022-04-30,Q16,income_at_latest_annual_assessment_for_stayers,1207
Total Adults,adults,2022-04-01,2022-04-30,Q16,income_at_exit_for_leavers,225
