count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2022-04-01,2022-04-30,Q20b,benefit_at_entry,773
No Sources,all_persons,2022-04-01,2022-04-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,25
No Sources,all_persons,2022-04-01,2022-04-30,Q20b,benefit_at_exit_for_leavers,99
1 + Source(s),all_persons,2022-04-01,2022-04-30,Q20b,benefit_at_entry,453
1 + Source(s),all_persons,2022-04-01,2022-04-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,29
1 + Source(s),all_persons,2022-04-01,2022-04-30,Q20b,benefit_at_exit_for_leavers,75
Client Doesn't Know/Client Refused,all_persons,2022-04-01,2022-04-30,Q20b,benefit_at_entry,6
Client Doesn't Know/Client Refused,all_persons,2022-04-01,2022-04-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2022-04-01,2022-04-30,Q20b,benefit_at_exit_for_leavers,0
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2022-04-01,2022-04-30,Q20b,benefit_at_entry,200
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2022-04-01,2022-04-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,1153
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2022-04-01,2022-04-30,Q20b,benefit_at_exit_for_leavers,51
