count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,740,168,213,stayers,2022-04-01,2022-04-30,Q13c2,without_children,328
None,740,168,213,stayers,2022-04-01,2022-04-30,Q13c2,with_only_children,21
None,740,168,213,stayers,2022-04-01,2022-04-30,Q13c2,unknown_household_type,10
1 Condition,328,27,10,stayers,2022-04-01,2022-04-30,Q13c2,without_children,289
1 Condition,328,27,10,stayers,2022-04-01,2022-04-30,Q13c2,with_only_children,0
1 Condition,328,27,10,stayers,2022-04-01,2022-04-30,Q13c2,unknown_household_type,2
2 Conditions,149,6,1,stayers,2022-04-01,2022-04-30,Q13c2,without_children,142
2 Conditions,149,6,1,stayers,2022-04-01,2022-04-30,Q13c2,with_only_children,0
2 Conditions,149,6,1,stayers,2022-04-01,2022-04-30,Q13c2,unknown_household_type,0
3+ Conditions,110,1,0,stayers,2022-04-01,2022-04-30,Q13c2,without_children,109
3+ Conditions,110,1,0,stayers,2022-04-01,2022-04-30,Q13c2,with_only_children,0
3+ Conditions,110,1,0,stayers,2022-04-01,2022-04-30,Q13c2,unknown_household_type,0
Condition Unknown,73,6,5,stayers,2022-04-01,2022-04-30,Q13c2,without_children,61
Condition Unknown,73,6,5,stayers,2022-04-01,2022-04-30,Q13c2,with_only_children,1
Condition Unknown,73,6,5,stayers,2022-04-01,2022-04-30,Q13c2,unknown_household_type,0
Client Doesn't Know/Client Refused,6,0,0,stayers,2022-04-01,2022-04-30,Q13c2,without_children,6
Client Doesn't Know/Client Refused,6,0,0,stayers,2022-04-01,2022-04-30,Q13c2,with_only_children,0
Client Doesn't Know/Client Refused,6,0,0,stayers,2022-04-01,2022-04-30,Q13c2,unknown_household_type,0
Data Not Collected,165,28,81,stayers,2022-04-01,2022-04-30,Q13c2,without_children,31
Data Not Collected,165,28,81,stayers,2022-04-01,2022-04-30,Q13c2,with_only_children,18
Data Not Collected,165,28,81,stayers,2022-04-01,2022-04-30,Q13c2,unknown_household_type,7
