veteran_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,23,all_households,2022-04-01,2022-04-30,Q25b,without_children,23
Chronically Homeless Veteran,23,all_households,2022-04-01,2022-04-30,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,23,all_households,2022-04-01,2022-04-30,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,53,all_households,2022-04-01,2022-04-30,Q25b,without_children,51
Non-Chronically Homeless Veteran,53,all_households,2022-04-01,2022-04-30,Q25b,with_children_and_adults,2
Non-Chronically Homeless Veteran,53,all_households,2022-04-01,2022-04-30,Q25b,unknown_household_type,0
Not a Veteran,1054,all_households,2022-04-01,2022-04-30,Q25b,without_children,880
Not a Veteran,1054,all_households,2022-04-01,2022-04-30,Q25b,with_children_and_adults,172
Not a Veteran,1054,all_households,2022-04-01,2022-04-30,Q25b,unknown_household_type,2
Client Doesn't Know/Client Refused,4,all_households,2022-04-01,2022-04-30,Q25b,without_children,4
Client Doesn't Know/Client Refused,4,all_households,2022-04-01,2022-04-30,Q25b,with_children_and_adults,0
Client Doesn't Know/Client Refused,4,all_households,2022-04-01,2022-04-30,Q25b,unknown_household_type,0
Data Not Collected,15,all_households,2022-04-01,2022-04-30,Q25b,without_children,14
Data Not Collected,15,all_households,2022-04-01,2022-04-30,Q25b,with_children_and_adults,1
Data Not Collected,15,all_households,2022-04-01,2022-04-30,Q25b,unknown_household_type,0
