persons_served,total,population,start_date,end_date,question,household_type,count
Adults,448,all_persons,2016-01-01,2016-01-31,Q7a,without_children,328
Adults,448,all_persons,2016-01-01,2016-01-31,Q7a,with_children_and_adults,119
Adults,448,all_persons,2016-01-01,2016-01-31,Q7a,with_only_children,0
Adults,448,all_persons,2016-01-01,2016-01-31,Q7a,unknown_household_type,1
Children,151,all_persons,2016-01-01,2016-01-31,Q7a,without_children,0
Children,151,all_persons,2016-01-01,2016-01-31,Q7a,with_children_and_adults,149
Children,151,all_persons,2016-01-01,2016-01-31,Q7a,with_only_children,2
Children,151,all_persons,2016-01-01,2016-01-31,Q7a,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2016-01-01,2016-01-31,Q7a,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2016-01-01,2016-01-31,Q7a,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2016-01-01,2016-01-31,Q7a,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2016-01-01,2016-01-31,Q7a,unknown_household_type,0
Data Not Collected,1,all_persons,2016-01-01,2016-01-31,Q7a,without_children,0
Data Not Collected,1,all_persons,2016-01-01,2016-01-31,Q7a,with_children_and_adults,0
Data Not Collected,1,all_persons,2016-01-01,2016-01-31,Q7a,with_only_children,0
Data Not Collected,1,all_persons,2016-01-01,2016-01-31,Q7a,unknown_household_type,1
For PSH and RRH - the total persons served who moved into housing,113,all_persons,2016-01-01,2016-01-31,Q7a,without_children,60
For PSH and RRH - the total persons served who moved into housing,113,all_persons,2016-01-01,2016-01-31,Q7a,with_children_and_adults,53
For PSH and RRH - the total persons served who moved into housing,113,all_persons,2016-01-01,2016-01-31,Q7a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,113,all_persons,2016-01-01,2016-01-31,Q7a,unknown_household_type,0
