veteran_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,6,all_households,2016-01-01,2016-01-31,Q25b,without_children,6
Chronically Homeless Veteran,6,all_households,2016-01-01,2016-01-31,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,6,all_households,2016-01-01,2016-01-31,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,11,all_households,2016-01-01,2016-01-31,Q25b,without_children,10
Non-Chronically Homeless Veteran,11,all_households,2016-01-01,2016-01-31,Q25b,with_children_and_adults,1
Non-Chronically Homeless Veteran,11,all_households,2016-01-01,2016-01-31,Q25b,unknown_household_type,0
Not a Veteran,342,all_households,2016-01-01,2016-01-31,Q25b,without_children,268
Not a Veteran,342,all_households,2016-01-01,2016-01-31,Q25b,with_children_and_adults,74
Not a Veteran,342,all_households,2016-01-01,2016-01-31,Q25b,unknown_household_type,0
Client Doesn't Know/Client Refused,2,all_households,2016-01-01,2016-01-31,Q25b,without_children,2
Client Doesn't Know/Client Refused,2,all_households,2016-01-01,2016-01-31,Q25b,with_children_and_adults,0
Client Doesn't Know/Client Refused,2,all_households,2016-01-01,2016-01-31,Q25b,unknown_household_type,0
Data Not Collected,6,all_households,2016-01-01,2016-01-31,Q25b,without_children,6
Data Not Collected,6,all_households,2016-01-01,2016-01-31,Q25b,with_children_and_adults,0
Data Not Collected,6,all_households,2016-01-01,2016-01-31,Q25b,unknown_household_type,0
