conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,126,18,4,all_persons,2016-01-01,2016-01-31,Q13a1,without_children,104
Mental Health Disorder,126,18,4,all_persons,2016-01-01,2016-01-31,Q13a1,with_only_children,0
Mental Health Disorder,126,18,4,all_persons,2016-01-01,2016-01-31,Q13a1,unknown_household_type,0
Alcohol Use Disorder,24,0,0,all_persons,2016-01-01,2016-01-31,Q13a1,without_children,24
Alcohol Use Disorder,24,0,0,all_persons,2016-01-01,2016-01-31,Q13a1,with_only_children,0
Alcohol Use Disorder,24,0,0,all_persons,2016-01-01,2016-01-31,Q13a1,unknown_household_type,0
Drug Use Disorder,11,3,0,all_persons,2016-01-01,2016-01-31,Q13a1,without_children,8
Drug Use Disorder,11,3,0,all_persons,2016-01-01,2016-01-31,Q13a1,with_only_children,0
Drug Use Disorder,11,3,0,all_persons,2016-01-01,2016-01-31,Q13a1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,18,2,0,all_persons,2016-01-01,2016-01-31,Q13a1,without_children,16
Both Alcohol and Drug Use Disorders,18,2,0,all_persons,2016-01-01,2016-01-31,Q13a1,with_only_children,0
Both Alcohol and Drug Use Disorders,18,2,0,all_persons,2016-01-01,2016-01-31,Q13a1,unknown_household_type,0
Chronic Health Condition,53,9,5,all_persons,2016-01-01,2016-01-31,Q13a1,without_children,39
Chronic Health Condition,53,9,5,all_persons,2016-01-01,2016-01-31,Q13a1,with_only_children,0
Chronic Health Condition,53,9,5,all_persons,2016-01-01,2016-01-31,Q13a1,unknown_household_type,0
HIV/AIDS,83,2,0,all_persons,2016-01-01,2016-01-31,Q13a1,without_children,81
HIV/AIDS,83,2,0,all_persons,2016-01-01,2016-01-31,Q13a1,with_only_children,0
HIV/AIDS,83,2,0,all_persons,2016-01-01,2016-01-31,Q13a1,unknown_household_type,0
Development Disability,28,5,10,all_persons,2016-01-01,2016-01-31,Q13a1,without_children,13
Development Disability,28,5,10,all_persons,2016-01-01,2016-01-31,Q13a1,with_only_children,0
Development Disability,28,5,10,all_persons,2016-01-01,2016-01-31,Q13a1,unknown_household_type,0
Physical Disability,66,4,1,all_persons,2016-01-01,2016-01-31,Q13a1,without_children,61
Physical Disability,66,4,1,all_persons,2016-01-01,2016-01-31,Q13a1,with_only_children,0
Physical Disability,66,4,1,all_persons,2016-01-01,2016-01-31,Q13a1,unknown_household_type,0
