ch_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless ,53,all_households,2017-08-01,2017-08-31,Q26a,without_children,52
Chronically Homeless ,53,all_households,2017-08-01,2017-08-31,Q26a,with_children_and_adults,1
Chronically Homeless ,53,all_households,2017-08-01,2017-08-31,Q26a,with_only_children,0
Chronically Homeless ,53,all_households,2017-08-01,2017-08-31,Q26a,unknown_household_type,0
Not Chronically Homeless,286,all_households,2017-08-01,2017-08-31,Q26a,without_children,196
Not Chronically Homeless,286,all_households,2017-08-01,2017-08-31,Q26a,with_children_and_adults,89
Not Chronically Homeless,286,all_households,2017-08-01,2017-08-31,Q26a,with_only_children,1
Not Chronically Homeless,286,all_households,2017-08-01,2017-08-31,Q26a,unknown_household_type,0
Client Doesn't Know/Client Refused,2,all_households,2017-08-01,2017-08-31,Q26a,without_children,2
Client Doesn't Know/Client Refused,2,all_households,2017-08-01,2017-08-31,Q26a,with_children_and_adults,0
Client Doesn't Know/Client Refused,2,all_households,2017-08-01,2017-08-31,Q26a,with_only_children,0
Client Doesn't Know/Client Refused,2,all_households,2017-08-01,2017-08-31,Q26a,unknown_household_type,0
Data Not Collected,15,all_households,2017-08-01,2017-08-31,Q26a,without_children,14
Data Not Collected,15,all_households,2017-08-01,2017-08-31,Q26a,with_children_and_adults,1
Data Not Collected,15,all_households,2017-08-01,2017-08-31,Q26a,with_only_children,0
Data Not Collected,15,all_households,2017-08-01,2017-08-31,Q26a,unknown_household_type,0
