length,total,population,start_date,end_date,question,status,count
30 days or less,156,all_persons,2017-08-01,2017-08-31,Q22a1,leavers,38
30 days or less,156,all_persons,2017-08-01,2017-08-31,Q22a1,stayers,118
31 to 60 days,121,all_persons,2017-08-01,2017-08-31,Q22a1,leavers,47
31 to 60 days,121,all_persons,2017-08-01,2017-08-31,Q22a1,stayers,74
61 to 90 days,80,all_persons,2017-08-01,2017-08-31,Q22a1,leavers,40
61 to 90 days,80,all_persons,2017-08-01,2017-08-31,Q22a1,stayers,40
91 to 180 days,90,all_persons,2017-08-01,2017-08-31,Q22a1,leavers,35
91 to 180 days,90,all_persons,2017-08-01,2017-08-31,Q22a1,stayers,55
181 to 365 days,37,all_persons,2017-08-01,2017-08-31,Q22a1,leavers,7
181 to 365 days,37,all_persons,2017-08-01,2017-08-31,Q22a1,stayers,30
366 to 730 Days (1-2 Yrs),48,all_persons,2017-08-01,2017-08-31,Q22a1,leavers,1
366 to 730 Days (1-2 Yrs),48,all_persons,2017-08-01,2017-08-31,Q22a1,stayers,47
"731 to 1,095 Days (2-3 Yrs)",23,all_persons,2017-08-01,2017-08-31,Q22a1,leavers,0
"731 to 1,095 Days (2-3 Yrs)",23,all_persons,2017-08-01,2017-08-31,Q22a1,stayers,23
"1,096 to 1,460 Days (3-4 Yrs)",4,all_persons,2017-08-01,2017-08-31,Q22a1,leavers,0
"1,096 to 1,460 Days (3-4 Yrs)",4,all_persons,2017-08-01,2017-08-31,Q22a1,stayers,4
"1,461 to 1,825 Days (5-5 Yrs)",15,all_persons,2017-08-01,2017-08-31,Q22a1,leavers,0
"1,461 to 1,825 Days (5-5 Yrs)",15,all_persons,2017-08-01,2017-08-31,Q22a1,stayers,15
"More than 1,825 Days (>5 Yrs)",65,all_persons,2017-08-01,2017-08-31,Q22a1,leavers,2
"More than 1,825 Days (>5 Yrs)",65,all_persons,2017-08-01,2017-08-31,Q22a1,stayers,63
Data Not Collected,0,all_persons,2017-08-01,2017-08-31,Q22a1,leavers,0
Data Not Collected,0,all_persons,2017-08-01,2017-08-31,Q22a1,stayers,0
