"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",102,1,18
"""Adults with Only Other Income""",79,17,6
"""Adults with Both Earned and Other Income""",16,1,4
"""Adults with No Income""",152,2,15
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",9,0,2
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,212,0
"""Number of Adult Stayers without Required Annual Assessment""",0,80,0
"""Total Adults""",358,313,45
"""1 or More Source of Income""",217,19,29
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,21,0
