, "At Start" , "At Annual Assessment for Stayers" , "At Exit for Leavers"
"""MEDICAID""",204,18,32
"""MEDICARE""",46,8,4
"""State Children's Health Insurance Program""",7,0,0
"""Veteran's Administration (VA) Medical Services""",3,0,0
"""Employer - Provided Health Insurance""",21,0,1
"""Health Insurance obtained through COBRA""",0,0,0
"""Private Pay Health Insurance""",29,1,2
"""State Health Insurance for Adults""",8,1,1
"""Indian Health Services Program""",0,0,0
"""Other""",0,0,0
"""No Health Insurance""",202,2,37
"""Client Doesn't Know/Client Refused""",0,0,0
"""Data Not Collected""",29,85,2
"""Number of Stayers not yet Required To Have an Annual Assessment""",0,323,0
"""1 Source of Health Insurance""",242,14,34
"""More than 1 Source of Health Insurance""",37,7,3
