"""Total Number of Persons Served""",507
"""Number of Adults (age 18 or over)""",358
"""Number of Children (under age 18)""",148
"""Number of Persons with Unknown Age""",1
"""Number of Leavers""",76
"""Number of Adult Leavers""",45
"""Number of Adult and Head of Household Leavers""",46
"""Number of Stayers""",431
"""Number of Adult Stayers""",313
"""Number of Veterans""",12
"""Number of Chronically Homeless Persons""",23
"""Number of Youth Under Age 25""",20
"""Number of Parenting Youth Under Age 25 with Children""",8
"""Number of Adult Heads of Household""",289
"""Number of Child and Unknown-Age Heads of Household""",2
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",101
