, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",118,2,22
"""Unemployment Insurance""",3,1,0
"""Supplemental Security Income (SSI)""",40,13,2
"""Social Security Disability Insurance (SSDI)""",40,7,4
"""VA Service - Connected Disability Compensation""",1,0,0
"""VA Non-Service Connected Disability Pension""",0,0,0
"""Private Disability Insurance""",1,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",5,0,0
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",6,0,2
"""Pension or retirement income from a former job""",2,0,0
"""Child Support""",13,0,2
"""Alimony and other spousal support""",0,0,0
"""Other Source""",4,0,0
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,21,0
