, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",74,43,31,0,0
"""Transitional housing for homeless persons (including homeless youth)""",0,0,0,0,0
"""Place not meant for human habitation""",46,34,12,0,0
"""Safe Haven""",0,0,0,0,0
"""Host Home""",0,0,0,0,0
"""Subtotal""",120,77,43,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",1,1,0,0,0
"""Substance abuse treatment facility or detox center""",1,1,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",7,5,2,0,0
"""Jail, prison or juvenile detention facility""",9,9,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",1,1,0,0,0
"""Subtotal""",19,17,2,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",2,2,0,0,0
"""Owned by client, no ongoing housing subsidy""",11,6,5,0,0
"""Owned by client, with ongoing housing subsidy""",0,0,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",125,93,32,0,0
"""Rental by client, with VASH housing subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",6,4,2,0,0
"""Hotel or motel paid for without emergency shelter voucher""",7,3,4,0,0
"""Staying or living in a friend''s room, apartment or house""",25,16,9,0,0
"""Staying or living in a family member''s room, apartment or house""",39,29,10,0,0
"""Client Doesn''t Know/Client Refused""",0,0,0,0,0
"""Data not collected""",6,5,0,0,1
"""Subtotal""",221,158,62,0,1
"""Total""",360,252,107,0,1
