veteran_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,14,all_households,2019-07-01,2019-07-31,Q25b,without_children,14
Chronically Homeless Veteran,14,all_households,2019-07-01,2019-07-31,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,14,all_households,2019-07-01,2019-07-31,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,26,all_households,2019-07-01,2019-07-31,Q25b,without_children,22
Non-Chronically Homeless Veteran,26,all_households,2019-07-01,2019-07-31,Q25b,with_children_and_adults,3
Non-Chronically Homeless Veteran,26,all_households,2019-07-01,2019-07-31,Q25b,unknown_household_type,1
Not a Veteran,605,all_households,2019-07-01,2019-07-31,Q25b,without_children,479
Not a Veteran,605,all_households,2019-07-01,2019-07-31,Q25b,with_children_and_adults,126
Not a Veteran,605,all_households,2019-07-01,2019-07-31,Q25b,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_households,2019-07-01,2019-07-31,Q25b,without_children,1
Client Doesn't Know/Client Refused,1,all_households,2019-07-01,2019-07-31,Q25b,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_households,2019-07-01,2019-07-31,Q25b,unknown_household_type,0
Data Not Collected,4,all_households,2019-07-01,2019-07-31,Q25b,without_children,2
Data Not Collected,4,all_households,2019-07-01,2019-07-31,Q25b,with_children_and_adults,2
Data Not Collected,4,all_households,2019-07-01,2019-07-31,Q25b,unknown_household_type,0
