report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,1089,all_persons,2019-07-01,2019-07-31,Q5a
Number of Adults (age 18 or over),796,all_persons,2019-07-01,2019-07-31,Q5a
Number of Children (under age 18),288,all_persons,2019-07-01,2019-07-31,Q5a
Number of Persons with Unknown Age,5,all_persons,2019-07-01,2019-07-31,Q5a
Number of Leavers,409,all_persons,2019-07-01,2019-07-31,Q5a
Number of Adult Leavers,317,all_persons,2019-07-01,2019-07-31,Q5a
Number of Adult and Head of Household Leavers,323,all_persons,2019-07-01,2019-07-31,Q5a
Number of Stayers,680,all_persons,2019-07-01,2019-07-31,Q5a
Number of Adult Stayers,479,all_persons,2019-07-01,2019-07-31,Q5a
Number of Veterans,42,all_persons,2019-07-01,2019-07-31,Q5a
Number of Chronically Homeless Persons,115,all_persons,2019-07-01,2019-07-31,Q5a
Number of Youth Under Age 25,72,all_persons,2019-07-01,2019-07-31,Q5a
Number of Parenting Youth Under Age 25 with Children,15,all_persons,2019-07-01,2019-07-31,Q5a
Number of Adult Heads of Household,657,all_persons,2019-07-01,2019-07-31,Q5a
Number of Child and Unknown-Age Heads of Household,6,all_persons,2019-07-01,2019-07-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,138,all_persons,2019-07-01,2019-07-31,Q5a
