ethnicity,total,population,start_date,end_date,question,household_type,count
Non-Hispanic/Non-Latin(a)(o)(x),983,all_persons,2019-07-01,2019-07-31,Q12b,without_children,567
Non-Hispanic/Non-Latin(a)(o)(x),983,all_persons,2019-07-01,2019-07-31,Q12b,with_children_and_adults,398
Non-Hispanic/Non-Latin(a)(o)(x),983,all_persons,2019-07-01,2019-07-31,Q12b,with_only_children,13
Non-Hispanic/Non-Latin(a)(o)(x),983,all_persons,2019-07-01,2019-07-31,Q12b,unknown_household_type,5
Hispanic/Latin(a)(o)(x),102,all_persons,2019-07-01,2019-07-31,Q12b,without_children,33
Hispanic/Latin(a)(o)(x),102,all_persons,2019-07-01,2019-07-31,Q12b,with_children_and_adults,67
Hispanic/Latin(a)(o)(x),102,all_persons,2019-07-01,2019-07-31,Q12b,with_only_children,2
Hispanic/Latin(a)(o)(x),102,all_persons,2019-07-01,2019-07-31,Q12b,unknown_household_type,0
Client Doesn't Know/Client Refused,2,all_persons,2019-07-01,2019-07-31,Q12b,without_children,0
Client Doesn't Know/Client Refused,2,all_persons,2019-07-01,2019-07-31,Q12b,with_children_and_adults,2
Client Doesn't Know/Client Refused,2,all_persons,2019-07-01,2019-07-31,Q12b,with_only_children,0
Client Doesn't Know/Client Refused,2,all_persons,2019-07-01,2019-07-31,Q12b,unknown_household_type,0
Data Not Collected,2,all_persons,2019-07-01,2019-07-31,Q12b,without_children,0
Data Not Collected,2,all_persons,2019-07-01,2019-07-31,Q12b,with_children_and_adults,1
Data Not Collected,2,all_persons,2019-07-01,2019-07-31,Q12b,with_only_children,0
Data Not Collected,2,all_persons,2019-07-01,2019-07-31,Q12b,unknown_household_type,1
