conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,196,35,1,all_persons,2019-07-01,2019-07-31,Q13a1,without_children,160
Mental Health Disorder,196,35,1,all_persons,2019-07-01,2019-07-31,Q13a1,with_only_children,0
Mental Health Disorder,196,35,1,all_persons,2019-07-01,2019-07-31,Q13a1,unknown_household_type,0
Alcohol Use Disorder,39,0,0,all_persons,2019-07-01,2019-07-31,Q13a1,without_children,39
Alcohol Use Disorder,39,0,0,all_persons,2019-07-01,2019-07-31,Q13a1,with_only_children,0
Alcohol Use Disorder,39,0,0,all_persons,2019-07-01,2019-07-31,Q13a1,unknown_household_type,0
Drug Use Disorder,33,4,0,all_persons,2019-07-01,2019-07-31,Q13a1,without_children,29
Drug Use Disorder,33,4,0,all_persons,2019-07-01,2019-07-31,Q13a1,with_only_children,0
Drug Use Disorder,33,4,0,all_persons,2019-07-01,2019-07-31,Q13a1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,24,1,0,all_persons,2019-07-01,2019-07-31,Q13a1,without_children,23
Both Alcohol and Drug Use Disorders,24,1,0,all_persons,2019-07-01,2019-07-31,Q13a1,with_only_children,0
Both Alcohol and Drug Use Disorders,24,1,0,all_persons,2019-07-01,2019-07-31,Q13a1,unknown_household_type,0
Chronic Health Condition,96,14,4,all_persons,2019-07-01,2019-07-31,Q13a1,without_children,78
Chronic Health Condition,96,14,4,all_persons,2019-07-01,2019-07-31,Q13a1,with_only_children,0
Chronic Health Condition,96,14,4,all_persons,2019-07-01,2019-07-31,Q13a1,unknown_household_type,0
HIV/AIDS,85,6,0,all_persons,2019-07-01,2019-07-31,Q13a1,without_children,79
HIV/AIDS,85,6,0,all_persons,2019-07-01,2019-07-31,Q13a1,with_only_children,0
HIV/AIDS,85,6,0,all_persons,2019-07-01,2019-07-31,Q13a1,unknown_household_type,0
Development Disability,41,6,6,all_persons,2019-07-01,2019-07-31,Q13a1,without_children,29
Development Disability,41,6,6,all_persons,2019-07-01,2019-07-31,Q13a1,with_only_children,0
Development Disability,41,6,6,all_persons,2019-07-01,2019-07-31,Q13a1,unknown_household_type,0
Physical Disability,109,12,1,all_persons,2019-07-01,2019-07-31,Q13a1,without_children,96
Physical Disability,109,12,1,all_persons,2019-07-01,2019-07-31,Q13a1,with_only_children,0
Physical Disability,109,12,1,all_persons,2019-07-01,2019-07-31,Q13a1,unknown_household_type,0
