"""Total Number of Persons Served""",459
"""Number of Adults (age 18 or over)""",352
"""Number of Children (under age 18)""",106
"""Number of Persons with Unknown Age""",1
"""Number of Leavers""",82
"""Number of Adult Leavers""",56
"""Number of Adult and Head of Household Leavers""",56
"""Number of Stayers""",377
"""Number of Adult Stayers""",296
"""Number of Veterans""",6
"""Number of Chronically Homeless Persons""",16
"""Number of Youth Under Age 25""",29
"""Number of Parenting Youth Under Age 25 with Children""",10
"""Number of Adult Heads of Household""",287
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",100
