, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",133,2,21
"""$1 -  $150""",3,0,1
"""$151 - $250""",2,0,0
"""$251 - $500""",18,2,4
"""$501 - $1000""",66,9,10
"""$1001 - $1500""",65,5,7
"""$1501 - $2000""",16,0,3
"""$2001+""",20,2,7
"""Client Doesn't Know/Client Refused""",0,0,0
"""Data Not Collected""",29,0,3
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,196,0
"""Number of Adult Stayers without Required Annual Assessment""",0,80,0
"""Total Adults""",352,296,56
