"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",87,2,12
"""Adults with Only Other Income""",93,15,16
"""Adults with Both Earned and Other Income""",10,1,4
"""Adults with No Income""",155,2,24
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",6,0,0
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,196,0
"""Number of Adult Stayers without Required Annual Assessment""",0,80,0
"""Total Adults""",352,296,56
"""1 or More Source of Income""",211,18,35
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,20,0
