, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",97,3,16
"""Unemployment Insurance""",2,1,0
"""Supplemental Security Income (SSI)""",40,11,8
"""Social Security Disability Insurance (SSDI)""",53,6,7
"""VA Service - Connected Disability Compensation""",2,0,1
"""VA Non-Service Connected Disability Pension""",0,0,0
"""Private Disability Insurance""",1,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",4,0,2
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",5,0,3
"""Pension or retirement income from a former job""",0,0,0
"""Child Support""",12,0,4
"""Alimony and other spousal support""",0,0,0
"""Other Source""",4,0,0
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,20,0
