, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",214,12,70
"""Unemployment Insurance""",2,0,1
"""Supplemental Security Income (SSI)""",92,25,20
"""Social Security Disability Insurance (SSDI)""",68,11,18
"""VA Service - Connected Disability Compensation""",5,4,0
"""VA Non-Service Connected Disability Pension""",2,3,0
"""Private Disability Insurance""",1,1,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",16,1,4
"""General Assistance (GA)""",2,0,1
"""Retirement Income from Social Security""",9,2,1
"""Pension or retirement income from a former job""",9,1,2
"""Child Support""",16,0,7
"""Alimony and other spousal support""",1,0,1
"""Other Source""",5,0,2
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,64,0
