, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",16,30,46,0.35,5,19,24,0.21,0,0,0,0.0
"""Supplemental Security Income (SSI)""",16,1,17,0.94,2,2,4,0.5,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",14,1,15,0.93,3,0,3,1.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,2,2,0.0,1,1,2,0.5,0,0,0,0.0
"""Retirement Income from Social Security""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",1,1,2,0.5,0,0,0,0.0,0,0,0,0.0
"""Child Support""",2,1,3,0.67,0,3,3,0.0,0,0,0,0.0
"""Other source""",3,1,4,0.75,1,1,2,0.5,0,0,0,0.0
"""No Sources""",25,32,57,0.44,1,13,14,0.07,0,0,0,0.0
"""Unduplicated Total Adults""",64,64,128,,11,35,46,,0,0,0,
