, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",108,79,29,0,0
"""Transitional housing for homeless persons (including homeless youth)""",2,2,0,0,0
"""Place not meant for human habitation""",154,138,16,0,0
"""Safe Haven""",1,0,1,0,0
"""Host Home""",0,0,0,0,0
"""Subtotal""",265,219,46,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",1,1,0,0,0
"""Substance abuse treatment facility or detox center""",3,3,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",10,10,0,0,0
"""Jail, prison or juvenile detention facility""",13,13,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",1,1,0,0,0
"""Residential project or halfway house with no homeless criteria""",2,2,0,0,0
"""Subtotal""",30,30,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Owned by client, no ongoing housing subsidy""",9,8,1,0,0
"""Owned by client, with ongoing housing subsidy""",0,0,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",203,140,62,0,1
"""Rental by client, with VASH housing subsidy""",1,1,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",6,4,2,0,0
"""Hotel or motel paid for without emergency shelter voucher""",81,56,25,0,0
"""Staying or living in a friend''s room, apartment or house""",96,69,27,0,0
"""Staying or living in a family member''s room, apartment or house""",97,60,37,0,0
"""Client Doesn''t Know/Client Refused""",0,0,0,0,0
"""Data not collected""",14,13,1,0,0
"""Subtotal""",507,351,155,0,1
"""Total""",802,600,201,0,1
