, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",58,34,24,0,0
"""8 to 14 days""",9,2,7,0,0
"""15 to 21 days""",9,4,5,0,0
"""22 to 30 days""",4,2,2,0,0
"""31 to 60 days""",23,18,5,0,0
"""61 to 180 days""",40,16,24,0,0
"""181 to 365 days""",33,16,17,0,0
"""366-730 days (1-2 years)""",24,24,0,0,0
"""731 days or more""",43,34,9,0,0
"""Total (persons moved into housing)""",243,150,93,0,0
"""Not yet moved into housing""",13,11,2,0,0
"""Data not collected""",9,5,4,0,0
"""Total persons""",265,166,99,0,0
